epoch,train_loss,valid_loss,train_ppl,valid_ppl,valid_bleu,epoch_minutes,tokens_per_sec,steps_total,lr_last
1,7.362251277740578,7.724188394844532,1575.3791898460172,2262.4156539216465,0.0,6.94944390853246,24879.72664632655,6441,0.0005506233942743989
2,7.311120308217305,7.600576244294643,1496.853187124664,1999.3476759099392,0.0,6.574042658011119,26300.447826332635,12882,0.0003893646466591396
3,7.306896070463467,7.534007743000984,1490.5434596568118,1870.5873342112782,0.0,6.569542157649994,26318.464978751676,19323,0.0003179190156588486
4,7.3045876772761655,7.50456790626049,1487.106667549037,1816.3202745711571,0.0,6.575211179256439,26295.77387547104,25764,0.0002753277249084096
5,7.303751986361016,7.613334260880947,1485.8644251547462,2025.0187948013431,0.0,7.124465568860372,24268.524342902685,32205,0.00024626155939487564
6,7.302824799049494,7.4948089718818665,1484.487388996978,1798.6811338007446,0.0,6.989922451972961,24735.64872282557,38646,0.00022480560023234816
7,7.301962016884019,7.584692552685738,1483.20715211507,1967.841533325069,0.0,6.400313345591227,27014.34392026279,45087,0.00020812992790901637
8,7.301586361372625,7.589215517044067,1482.6500818136535,1976.762169094356,0.0,6.777177810668945,25512.133647463466,51528,0.00019468799041479835
9,7.300775168975157,7.605679705739021,1481.4478550237234,2009.577350860783,0.0,6.529260476430257,26480.834508699143,57969,0.00018355379554759295
10,7.300521386038016,7.663310579955578,1481.0719365387195,2128.793316200312,0.0,6.647530976931254,26009.69694611601,64410,0.00017413457032354024
11,7.301093372234812,7.661841042339802,1481.9193315689085,2125.6672718284076,0.0,6.528391615549723,26484.358831759615,70851,0.00016603091546514356
12,7.3002990870867395,7.8476279601454735,1480.7427323926863,2559.655505221089,0.0,6.43414257367452,26872.30882122029,77292,0.00015896259267472894
13,7.299937705004591,7.717829801142216,1480.2077151795672,2248.075511877389,0.0,6.6620929876963295,25952.844935288736,83733,0.0001527263949321898
14,7.299960264117983,7.8527301251888275,1480.2411077299103,2572.748663386297,0.0,6.5299511551856995,26478.033623345334,90174,0.00014717089941492984
15,7.299410781584954,7.8891569674015045,1479.4279645209956,2668.1935980801504,0.0,6.715339020888011,25747.06441803352,96615,0.0001421806491904679
16,7.2993029208124804,7.819378077983856,1479.2684008834067,2488.357362484791,0.0,6.532659029960632,26467.058123348288,103056,0.00013766586614430757
17,7.299281686789648,7.769748844206333,1479.2369903978936,2367.8765077635694,0.0,6.783393947283427,25488.75489135886,109497,0.00013355554568175818
18,7.299135036450738,7.813332788646221,1479.0200756976196,2473.3598999275287,0.0,6.592036656538645,26228.656516349973,115938,0.00012979269328622432
19,7.298904283541623,7.982716336846352,1478.6788268861055,2929.8788025739423,0.0,6.760959676901499,25573.331986066183,122379,0.00012633095961823865
20,7.298775554684226,7.916920557618141,1478.4884905014178,2743.3101594387344,0.0,6.574090298016866,26300.25723669612,128820,0.00012313221343179985
